text,is_skill
"Desarrollo de aplicaciones móviles en Android y iOS",1
"Trabajo en equipo y comunicación efectiva",0
"Experiencia en bases de datos relacionales como MySQL y PostgreSQL",1
"Capacidad de liderazgo y resolución de conflictos",0
"Mantenimiento de servidores y redes LAN/WAN",1
"Certificado en Python y Machine Learning",1
"Implementación de soluciones en la nube con AWS",1
"Proyectos de mejora continua en empresas",0
"Desarrollo con frameworks como Django y Flask",1
"Análisis de datos con SQL y Excel avanzado",1
"Gestión de proyectos de desarrollo de software",1
"Atención al cliente y manejo de quejas",0
"Redacción de manuales técnicos y documentación de procesos",0
"Automatización de procesos con Jenkins y Ansible",1
"Certificación en Cisco CCNA",1
"JavaScript",1
"Azure on Cloud",1
"Node.js",1
"React",1
"Angular",1
"Git",1
"Docker",1
"Networking",1
"DevOps",1
"Python",1
"MongoDB",1
"C++",1
"Desarrollo de API REST",1
"Kubernetes",1
"Machine Learning",1
"Gestión de redes y sistemas informáticos",1
"Optimización de motores de búsqueda (SEO)",1
"Instalación de sistemas operativos y particionado de discos",1
"Coordinación de eventos empresariales",0
"Implementación de redes de fibra óptica",1
"Capacitación en metodologías Lean y Six Sigma",0
"Desarrollo de aplicaciones multiplataforma con Flutter",1
"Administración de servidores Windows y Linux",1
"Consultoría en proyectos de transformación digital",1
"Desarrollo de algoritmos de machine learning",1
"Gestión de plataformas e-learning y Moodle",1
"Instalación de sistemas de videovigilancia y CCTV",1
"Optimización de algoritmos y estructuras de datos",1
"Automatización de procesos en empresas industriales",1
"Elaboración de contratos y acuerdos comerciales",0
"Linux",1
"Jira",1
"Cloud",1
"Salesforce",1
"PostgreSQL",1
"Excel",1
"GitHub",1
"Trello",1
"FastAPI",1
"Flask",1
"Ruby on Rails",1
"Selenium",1
"MySQL",1
"WordPress",1
"TensorFlow",1
"Capacidad para resolver problemas complejos",0
"Experiencia con redes sociales",0
"Desarrollo de aplicaciones web con Vue.js",1
"Implementación de Big Data en entornos productivos",1
"Manejo de Microsoft Office",0
"Desarrollo de aplicaciones en tiempo real con Node.js",1
"Configuración de servidores Apache y Nginx",1
"Programación orientada a objetos en Java",1
"Conocimiento en gestión de servicios ITIL",1
"Redacción de informes ejecutivos",0
"Atención al cliente en tiendas minoristas",0
"Uso de metodologías ágiles como SCRUM",1
"Implementación de estrategias de marketing digital",0
"Desarrollo de sistemas de recomendación con Python",1
"Creación de sistemas embebidos con C++",1
"Capacitación de personal en uso de herramientas digitales",0
"Instalación de redes de área local",1
"Experiencia en mantenimiento de servidores Linux",1
"Optimización de motores de bases de datos",1
"Creación de chatbots con IA",1
"Capacidad para trabajar bajo presión",0
"Desarrollo de aplicaciones de escritorio con Electron",1
"Optimización de recursos en entornos virtualizados",1
"Gestión de infraestructura con Terraform",1
"Experiencia en cloud computing",1
"Administración de bases de datos con MongoDB",1
"Instalación de sistemas de seguridad en redes",1
"Elaboración de reportes financieros",0
"Configuración de entornos de desarrollo con Docker",1
"Programación en Bash y PowerShell",1
"Capacidad de análisis de datos con R",1
"Análisis y procesamiento de grandes volúmenes de datos",1
"Desarrollo de modelos predictivos con Python",1
"Planificación de proyectos empresariales",0
"Optimización de procesos de negocio con Lean",0
"Gestión de plataformas en la nube",1
"Desarrollo de videojuegos con Unity",1
"Configuración de sistemas de backup",1
"Redacción de manuales operativos",0
"Gestión de procesos de manufactura",0
"Desarrollo de interfaces de usuario con Vue.js y React",1
"Capacitación en el uso de Git y GitHub",1
"Implementación de servidores con Linux y Windows",1
"Desarrollo de aplicaciones móviles con Swift",1
"Redacción de propuestas comerciales",0
"Instalación de sistemas de control de acceso",1
"Programación en lenguajes como Python, Java y C++",1
"Optimización de rendimiento de aplicaciones web",1
"Elaboración de estrategias de ventas",0
"Automatización de procesos empresariales",1
"Configuración de redes inalámbricas",1
"Instalación de sistemas de comunicación por voz sobre IP",1
"Elaboración de estudios de mercado",0
"Análisis de sistemas informáticos",1
"Implementación de sistemas ERP en empresas",1
"Capacitación de personal en metodologías ágiles",1
"Análisis de rendimiento de aplicaciones web",1
"Gestión de bases de datos SQL y NoSQL",1
"Desarrollo de sistemas de inteligencia artificial",1
"Instalación y configuración de routers",1
"Elaboración de proyectos empresariales",0
"Implementación de arquitecturas de microservicios",1
"Desarrollo de aplicaciones web con Angular y React",1
"Análisis financiero y gestión de riesgos",0
"Optimización de redes y sistemas distribuidos",1
"Capacidad para liderar equipos de trabajo",0
"Desarrollo de algoritmos para procesamiento de datos",1
"Configuración de servidores web con Apache",1
"Programación de microservicios con Go",1
"Capacidad para trabajar en entornos multiculturales",0
"Optimización de procesos industriales",0
"Desarrollo de aplicaciones para comercio electrónico",1
"Configuración de firewalls y sistemas de seguridad",1
"Gestión de entornos cloud con AWS y GCP",1
"Desarrollo de soluciones en blockchain",1
"Creación de campañas publicitarias en redes sociales",0
"Optimización de infraestructura IT",1
"Desarrollo de sistemas de videovigilancia",1
"Análisis de tendencias de mercado",0
"Implementación de servidores en entornos virtuales",1
"Programación de scripts en Bash y Python",1
"Gestión de plataformas tecnológicas en empresas",1
"Desarrollo de chatbots para atención al cliente",1
"Optimización de motores de búsqueda (SEO y SEM)",1
"Gestión de redes empresariales",1
"Configuración de plataformas de big data",1
"Desarrollo de soluciones en inteligencia artificial",1
"Capacitación de equipos de ventas",0
"Programación en Python para machine learning",1
"Implementación de soluciones de business intelligence",1
"Desarrollo de modelos de machine learning en R",1
"Configuración de servidores con Docker y Kubernetes",1
"Optimización de sistemas de bases de datos",1
"Elaboración de estrategias de marketing",0
"Implementación de redes de alta velocidad",1
"Capacitación en el uso de herramientas de productividad",0
"Implementación de soluciones en la nube",1
"Desarrollo de aplicaciones con Django",1
"Redacción de documentos técnicos",0
"Programación en lenguajes como Go y Rust",1
"Análisis de datos con Python y R",1
"Elaboración de estudios financieros",0
"Desarrollo de soluciones de automatización",1
"Implementación de plataformas cloud",1
"Optimización de procesos IT",1
"Desarrollo de aplicaciones móviles con React Native",1
"Implementación de sistemas de inteligencia empresarial",1
"Experiencia en gestión de proyectos con metodologías ágiles",1
"Gestión de proyectos utilizando PMI",1
"Administración de bases de datos Oracle",1
"Desarrollo de aplicaciones web con Ruby on Rails",1
"Administración y configuración de servidores en la nube",1
"Habilidades para coordinar proyectos internacionales",0
"Conocimientos en gestión de presupuestos empresariales",0
"Diseño de interfaces de usuario intuitivas y atractivas",1
"Desarrollo de políticas de ciberseguridad",1
"Gestión de relaciones con clientes utilizando CRM",1
"Conocimientos en marketing digital y SEO avanzado",1
"Redacción de contenidos para blogs y redes sociales",0
"Experiencia en ventas y atención al cliente",0
"Desarrollo de software embebido para dispositivos IoT",1
"Mantenimiento y soporte de infraestructuras IT",1
"Diseño y ejecución de pruebas de software",1
"Planificación estratégica y toma de decisiones",0
"Capacidad de adaptación a entornos cambiantes",0
"Conocimientos en gestión de la cadena de suministro",0
"Desarrollo de aplicaciones serverless",1
"Aplicación de algoritmos de aprendizaje profundo",1
"Análisis de datos y creación de modelos predictivos",1
"Habilidades en comunicación y negociación",0
"Conocimientos en compliance y auditoría interna",0
"Diseño gráfico y creación de material publicitario",1
"Desarrollo de videojuegos en plataformas móviles",1
"Implementación de sistemas de realidad aumentada",1
"Conocimientos avanzados en criptografía y seguridad",1
"Habilidad para adaptarse a diferentes culturas",0
"Experiencia en logística y gestión de almacenes",0
"Implementación de plataformas de pago en línea",1
"Análisis de datos",1
"Liderazgo de equipo",0
"Python avanzado",1
"Gestión del estrés en situaciones laborales",0
"Programación en Java",1
"Comunicación efectiva",0
"Aprendizaje automático",1
"Pensamiento analítico",0
"Diseño UX/UI",1
"Atención al detalle",0
"Administración de redes",1
"Negociación",0
"Desarrollo web",1
"Pensamiento crítico",0
"Marketing digital",1
"Adaptabilidad",0
"Bases de datos",1
"Trabajo en equipo",0
"Ciberseguridad",1
"Creatividad",0
"Cloud Computing",1
"Gestión del tiempo",0
"Programación en C#",1
"Empatía",0
"Big Data",1
"Proactividad",0
"Inteligencia emocional",0
"Desarrollo Agile",1
"Organización",0
"Análisis financiero",1
"Capacidad de aprendizaje",0
"Inteligencia artificial",1
"Orientación al cliente",0
"Java",1
"Paciencia",0
"SQL",1
"Confianza",0
"HTML",1
"Motivación",0
"CSS",1
"Integridad",0
"Jenkins",1
"Responsabilidad",0
"Kotlin",1
"Honestidad",0
"TypeScript",1
"Optimismo",0
"AWS",1
"Puntualidad",0
"Azure",1
"Dedicación",0
"Golang",1
"Disciplina",0
"Photoshop",1
"Resiliencia",0
"Illustrator",1
"Respeto",0
"Express.js",1
"Colaboración",0
"SQL Server",1
"Confidencialidad",0
"Hadoop",1
"Perseverancia",0
"Scala",1
"Transparencia",0
"PyTorch",1
"Compromiso",0
"Desarrollo de aplicaciones móviles con Ionic",1
"Implementación de sistemas de inteligencia empresarial",1
"Experiencia en dirección de proyectos con metodologías Scrum",1
"Gestión de proyectos utilizando el marco de trabajo Kanban",1
"Administración de bases de datos con SQL Server",1
"Desarrollo de aplicaciones web usando Laravel",1
"Administración y configuración de servicios cloud",1
"Habilidades para liderar equipos multidisciplinarios",0
"Conocimientos en análisis financiero corporativo",0
"Diseño de experiencias de usuario innovadoras",1
"Desarrollo de estrategias de ciberseguridad avanzadas",1
"Gestión de relaciones con clientes mediante CRM",1
"Conocimientos en marketing digital y SEM",1
"Creación de contenido para plataformas digitales",0
"Experiencia en soporte técnico y atención al cliente",0
"Desarrollo de firmware para dispositivos IoT",1
"Mantenimiento y soporte de sistemas de información",1
"Diseño y ejecución de pruebas de estrés",1
"Pensamiento estratégico y liderazgo",0
"Capacidad de adaptación a entornos dinámicos",0
"Conocimientos en logística y supply chain",0
"Desarrollo de aplicaciones con arquitectura de microservicios",1
"Implementación de algoritmos de aprendizaje profundo",1
"Análisis estadístico y modelos predictivos",1
"Habilidades en presentación y comunicación",0
"Conocimientos en auditorías y compliance",0
"Diseño gráfico y edición multimedia",1
"Desarrollo de videojuegos para consolas",1
"Implementación de sistemas de realidad virtual",1
"Conocimientos avanzados en seguridad informática",1
"Habilidad para trabajar en equipos multiculturales",0
"Experiencia en gestión de inventarios",0
"Implementación de pasarelas de pago online",1
"Análisis de datos con herramientas BI",1
"Capacidad de liderazgo",0
"Programación en lenguaje R",1
"Manejo del estrés laboral",0
"Programación en Swift para iOS",1
"Escucha activa y empatía",0
"Procesamiento de lenguaje natural (NLP)",1
"Resolución de problemas complejos",0
"Edición de video y animación",1
"Empatía con el cliente",0
"Administración de sistemas Unix",1
"Negociación y mediación",0
"Desarrollo full-stack con MERN",1
"Pensamiento innovador y creativo",0
"Estrategias de marketing digital",1
"Flexibilidad y adaptabilidad",0
"Administración de sistemas Windows",1
"Trabajo colaborativo en equipo",0
"Seguridad cibernética",1
"Creatividad e innovación",0
"Cloud computing avanzado",1
"Gestión efectiva del tiempo",0
"Programación en lenguaje PHP",1
"Trabajo bajo presión",0
"Ciencia de datos",1
"Orientación a resultados",0
"Machine learning aplicado",1
"Motivación al logro",0
"Desarrollo de software ágil",1
"Servicio al cliente",0
"Bases de datos relacionales",1
"Integridad y ética profesional",0
"Desarrollo front-end",1
"Pasión por el aprendizaje",0
"Desarrollo back-end",1
"Trabajo ético",0
"Automatización con Ansible",1
"Espíritu emprendedor",0
"Programación en Rust",1
"Adaptación al cambio",0
"Desarrollo de APIs con GraphQL",1
"Actitud positiva",0
"Implementación en Google Cloud",1
"Compromiso con el equipo",0
"Orquestación con OpenShift",1
"Pensamiento estratégico",0
"Programación en Scala",1
"Comunicación interpersonal",0
"Diseño con Adobe XD",1
"Responsabilidad social",0
"Modelado 3D con SolidWorks",1
"Confianza en uno mismo",0
"Desarrollo con Next.js",1
"Transparencia en el trabajo",0
"Gestión de contenedores con Docker Swarm",1
"Trabajo en red",0
"Desarrollo de aplicaciones con Firebase",1
"Respeto hacia los demás",0
"Procesamiento de datos con Apache Spark",1
"Colaboración efectiva",0
"Bases de datos gráficas con Neo4j",1
"Compromiso con la calidad",0
"Modelos avanzados con TensorFlow",1
"Resolución de conflictos",0
"Capacidad para trabajar en equipo",0
"Desarrollo de aplicaciones multiplataforma",1
"Optimización de código y refactorización",1
"Gestión de la seguridad en redes informáticas",1
"Elaboración de informes técnicos y reportes",0
"Implementación de sistemas ERP en empresas",1
"Programación en MATLAB para análisis numérico",1
"Experiencia en atención al cliente",0
"Aprendizaje rápido de nuevas tecnologías",0
"Desarrollo de aplicaciones en Ruby on Rails",1
"Configuración de servidores DNS y DHCP",1
"Análisis y diseño de sistemas de información",1
"Conocimientos en manufactura esbelta",0
"Gestión de proyectos con PMP",1
"Elaboración de planes de negocio",0
"Programación en Perl y scripting",1
"Planificación y organización",0
"Business Intelligence",1
"Atención a los detalles",0
"Desarrollo de aplicaciones en .NET Core",1
"Análisis de requerimientos funcionales",1
"Configuración de sistemas operativos Linux",1
"Negociación y gestión de conflictos",0
"Implementación de políticas de seguridad IT",1
"Análisis de mercado y tendencias",0
"Desarrollo de aplicaciones de realidad aumentada",1
"Gestión de proveedores y compras",0
"Desarrollo de aplicaciones móviles",1
"Capacidad de síntesis y análisis",0
"Implementación de soluciones de Internet de las Cosas",1
"Análisis financiero y contable",0
"Programación en lenguajes funcionales como Haskell",1
"Capacidad para trabajar de forma independiente",0
"Diseño y desarrollo de bases de datos NoSQL",1
"Experiencia en gestión de riesgos y cumplimiento",0
"Implementación de sistemas de control de versiones con Git",1
"Habilidades avanzadas en Excel y análisis de datos",1
"Coordinación de equipos de desarrollo internacional",0
"Desarrollo de aplicaciones con inteligencia artificial",1
"Conocimientos en gestión de recursos humanos",0
"Mantenimiento preventivo y correctivo de hardware",1
"Capacidad para aprender rápidamente nuevas tecnologías",0
"Desarrollo de aplicaciones con microservicios",1
"Habilidades de liderazgo y motivación",0
"Programación en lenguajes ensambladores",1
"Gestión de proyectos con metodologías PRINCE2",1
"Adaptabilidad a diferentes entornos laborales",0
"Desarrollo de aplicaciones con Xamarin",1
"Conocimientos en derecho laboral",0
"Implementación de sistemas de gestión de contenidos",1
"Capacidad para tomar decisiones informadas",0
"Análisis y diseño orientado a objetos",1
"Experiencia en servicio al cliente",0
"Programación de videojuegos en Unreal Engine",1
"Habilidades en oratoria y presentaciones",0
"Desarrollo de aplicaciones de realidad mixta",1
"Conocimientos en planificación financiera",0
"Administración de sistemas basados en Unix",1
"Trabajo en entornos multiculturales",0
"Implementación de algoritmos genéticos",1
"Habilidades en gestión del cambio",0
"Desarrollo de plugins para WordPress",1
"Conocimientos en psicología organizacional",0
"Análisis de datos con herramientas de visualización",1
"Capacidad para resolver conflictos",0
"Desarrollo de chatbots con Microsoft Bot Framework",1
"Experiencia en ventas B2B",0
"Programación en lenguajes de scripting como Lua",1
"Habilidades en gestión de eventos",0
"Desarrollo de aplicaciones con Electron",1
"Conocimientos en educación y formación",0
"Implementación de sistemas de gestión de identidades",1
"Trabajo bajo presión",0
"Análisis de requerimientos de software",1
"Experiencia en telemarketing",0
"Programación en FORTRAN para cálculos científicos",1
"Habilidades en gestión de la calidad",0
"Desarrollo de aplicaciones con Blazor",1
"Conocimientos en gestión ambiental",0
"Implementación de sistemas de videoconferencia",1
"Capacidad para priorizar tareas",0
"Desarrollo de aplicaciones con Kotlin",1
"Experiencia en relaciones públicas",0
"Programación en COBOL para sistemas heredados",1
"Habilidades en manejo de crisis",0
"Desarrollo de aplicaciones con Svelte",1
"Conocimientos en gestión cultural",0
"Implementación de sistemas de autenticación biométrica",1
"Trabajo en equipos remotos",0
"Análisis de señales y procesamiento digital",1
"Experiencia en atención al cliente",0
"Programación en MATLAB para simulaciones",1
"Habilidades en organización de eventos",0
"Desarrollo de aplicaciones con plataformas de bajo código",1
"Conocimientos en gestión de la innovación",0
"Implementación de sistemas de logística inversa",1
"Capacidad para negociar acuerdos",0
"Análisis de sistemas de información",1
"Experiencia en gestión de comunidades online",0
"Programación en Erlang para sistemas concurrentes",1
"Habilidades en coaching y mentoring",0
"Desarrollo de aplicaciones progresivas (PWA)",1
"Conocimientos en investigación de mercados",0
"Implementación de sistemas de gestión de aprendizaje",1
"Manejo de múltiples proyectos simultáneos",0
"Análisis de negocios y procesos",1
"Experiencia en gestión de patrimonio",0
"Programación en Dart para Flutter",1
"Habilidades en storytelling",0
"Diseño de interfaces con Figma",1
"Conocimientos en sociología empresarial",0
"Implementación de sistemas de geolocalización",1
"Trabajo con plazos ajustados",0
"Análisis de seguridad y detección de vulnerabilidades",1
"Experiencia en gestión de recursos",0
"Programación en Visual Basic",1
"Habilidades en manejo de personal",0
"Desarrollo de aplicaciones con Apache Cordova",1
"Conocimientos en turismo y hospitalidad",0
"Implementación de sistemas de monitorización",1
"Gestión efectiva de conflictos",0
"Análisis de datos con Tableau",1
"Experiencia en trabajo voluntario",0
"Programación en Assembly",1
"Habilidades en negociación",0
"Desarrollo de aplicaciones con Ember.js",1
"Conocimientos en lingüística computacional",0
"Implementación de sistemas de inteligencia geográfica",1
"Capacidad para liderar equipos",0
"Análisis de rendimiento de aplicaciones",1
"Experiencia en gestión de contenido",0
"Programación en Python para análisis de datos",1
"Desarrollo de aplicaciones web con ASP.NET",1
"Manejo de bases de datos SQL y NoSQL",1
"Implementación de algoritmos de aprendizaje automático",1
"Diseño de interfaces de usuario con Adobe XD",1
"Optimización de consultas SQL",1
"Administración de servidores Linux",1
"Desarrollo de aplicaciones móviles con Kotlin",1
"Programación en JavaScript",1
"Conocimientos avanzados de React",1
"Capacidad de trabajar en equipo",0
"Excelente comunicación verbal y escrita",0
"Adaptabilidad a cambios",0
"Liderazgo y motivación",0
"Orientado al detalle",0
"Trabajo bajo presión",0
"Habilidades interpersonales",0
"Actitud positiva",0
"Pensamiento crítico",0
"Buena ética de trabajo",0
"Programación en lenguaje Rust",1
"Desarrollo de aplicaciones con Vue.js",1
"Administración de sistemas en AWS",1
"Implementación de DevOps con Jenkins y Kubernetes",1
"Análisis de datos con Python y Pandas",1
"Desarrollo de microservicios",1
"Automatización de pruebas con Selenium",1
"Gestión de proyectos con Jira",1
"Desarrollo backend con Node.js",1
"Integración continua y despliegue continuo (CI/CD)",1
"Buena organización personal",0
"Atención al cliente",0
"Dispuesto a aprender",0
"Responsabilidad y compromiso",0
"Pensamiento analítico",0
"Capacidad de negociación",0
"Flexibilidad horaria",0
"Trabajo independiente",0
"Creatividad e innovación",0
"Gestión del tiempo",0
"Programación en SQL",1
"Conocimiento de sistemas ERP",1
"Desarrollo de aplicaciones con Laravel",1
"Implementación de sistemas de gestión de contenidos (CMS)",1
"Administración de bases de datos MySQL",1
"Desarrollo de aplicaciones Android",1
"Programación en C#",1
"Desarrollo de APIs RESTful",1
"Gestión de servidores Windows",1
"Configuración de redes LAN y WAN",1
"Habilidades de presentación",0
"Empatía y escucha activa",0
